Point_Index,X,Y,Normal_X,Normal_Y,Curvature,Velocity,Accel_Type
1,-42.987804878048806,37.07386363636366,-0.984478708519302,0.17550405258046703,0.8799243609663931,3.338964740856384,Constant
2,-42.35481644859396,37.89076057953789,-0.5422301518987089,0.8402300056364942,0.36004720258806694,5.2198110592952265,Power_Limited
3,-40.892498082938715,38.42603924800025,-0.22304515890601145,0.9748081129579257,0.09979385051736936,9.91476930670717,Power_Limited
4,-38.74432509680278,38.7168745670851,-0.0771456143727655,0.9970198364039949,0.03845670246761889,15.97160211803174,Power_Limited
5,-36.05377280590586,38.800441462126784,0.000512059489387293,0.999999868897531,0.01910562790887724,22.659683836225067,Power_Limited
6,-32.96431652596763,38.71391485845964,0.04749925611969446,0.998871273322081,0.011190846733003575,29.607588069843857,Power_Limited
7,-29.619431572707846,38.494469681418025,0.07836102807809352,0.9969250469712074,0.0073216143075217465,36.60421352968136,Power_Limited
8,-26.16259326184617,38.17928085633627,0.09960834715691722,0.9950267218405077,0.005154121425681083,41.666666666666664,Power_Limited
9,-22.737276909102327,37.80552330854876,0.1147511702580027,0.993394266605369,0.0039381461369088835,41.666666666666664,Constant
10,-19.475085233781524,37.406778539655335,0.12830444767537108,0.9917348278177579,0.004684598291670712,41.666666666666664,Braking
11,-16.409181937823746,36.98683397007532,0.1449867850917793,0.989433591580936,0.006611383433684027,38.52018205910217,Braking
12,-13.52404830829081,36.53474253933041,0.16664997109268398,0.9860161191049605,0.00892266537132651,33.15791399692405,Braking
13,-10.803819397219803,36.03945239359196,0.19371726751998508,0.9810573990672465,0.01158441832555858,29.10029473873123,Braking
14,-8.23263025664783,35.48991167903134,0.22641255335699806,0.9740314962476134,0.014507445485161433,26.003932500201994,Braking
15,-5.794615938612005,34.8750685418199,0.26466527105879456,0.9643403415264628,0.01752445402124862,23.65986463328478,Braking
16,-3.4739114951494385,34.18387112812903,0.3080079107308887,0.9513837958086069,0.02038747148012247,21.935766798128803,Braking
17,-1.254651978297224,33.40526758413006,0.3555082361221637,0.9346731482445123,0.02279174529195623,20.746541651248098,Braking
18,0.8790275599075272,32.52820605599437,0.40577721676356415,0.9139720183657788,0.02443176096151677,20.0381267035275,Braking
19,2.9429920674277037,31.54163468989332,0.4570827740536633,0.889424160714902,0.025078380770524013,19.778108618721976,Constant
20,4.953106492226208,30.434501631998266,0.5075638782810439,0.8616141302603535,0.02464752667343149,19.950226515829954,Power_Limited
21,6.925235782265929,29.19575502848057,0.5555053953738671,0.8315129317758825,0.02329145106542681,20.52278193898757,Power_Limited
22,8.87223512390716,27.81626562283207,0.5999422579084142,0.8000433033128607,0.021827356196269975,21.199906028165415,Power_Limited
23,10.788918879361706,26.298428406889244,0.6411444398825712,0.7674202285629851,0.020768210679889477,21.733764821572503,Power_Limited
24,12.66340976950499,24.648912907618453,0.6797102757464858,0.7334807025714011,0.020057027851650526,22.115726725114808,Power_Limited
25,14.483819520371965,22.874395675349902,0.7160807082910263,0.6980174920540475,0.01964204229763779,22.34812967692668,Power_Limited
26,16.238259857997598,20.981553260413776,0.7505826933172871,0.6607765284062134,0.019484252131517808,22.438438622468947,Braking
27,17.914842508416832,18.97706221314028,0.7834394415433695,0.6214681338847657,0.019553793933519,22.398502656396133,Braking
28,19.501679197664618,16.8675990838596,0.8147757038053759,0.5797762952108806,0.01982691245223331,22.24369641979921,Braking
29,20.98688165177592,14.659840422901947,0.8446188755430615,0.5353680557115585,0.020283211373089246,21.99207183606837,Braking
30,22.358561596785684,12.360462780597524,0.8728967632696422,0.4879049504497597,0.02090300275349254,21.663576884904277,Braking
31,23.604830758728877,9.976142707276502,0.8994331920947067,0.437058271810895,0.021664627281229722,21.279376210380626,Braking
32,24.713800863640447,7.513556753269089,0.9239431553677289,0.3825297970735412,0.022541708265774042,20.861286679115132,Braking
33,25.673583637555346,4.979381468905486,0.9460299364363333,0.32407924858939563,0.02350044229269213,20.431322813427304,Braking
34,26.47229080650853,2.3802934045158874,0.9651691294228654,0.26162674100540295,0.024449884506892956,20.030698667985845,Braking
35,27.098328589801206,-0.27665558573320637,0.9805055572182817,0.196491354171289,0.024534141985463286,19.99627342286683,Constant
36,27.54588960113662,-2.977039434862068,0.9913935159883962,0.1309156081457266,0.02409644754588606,20.177065010377362,Power_Limited
37,27.814452472788467,-5.69969554478624,0.9978488759655996,0.06555624100106329,0.024061884038268613,20.191551404680776,Braking
38,27.903689998437194,-8.423213877057945,0.9999999764573825,-0.00021699132356063896,0.02447477331917221,20.020511298720482,Braking
39,27.813274971763235,-11.126184393229353,0.9977453395124998,-0.06711361621226117,0.025359011076015826,19.668368975894104,Braking
40,27.542880186447057,-13.787197054852674,0.990728829799574,-0.1358542815076758,0.026751020218862318,19.14980380608059,Braking
41,27.09217843616909,-16.384841823480095,0.9783121702937189,-0.2071359395546644,0.028697004063155104,18.48911927282747,Braking
42,26.460842514609766,-18.897708660663795,0.9595391336568466,-0.28157530250550794,0.03124540640230633,17.71909003007944,Braking
43,25.648545215449552,-21.304387527955974,0.9331006645403643,-0.35961528031262885,0.034431154864667565,16.879466220982955,Braking
44,24.654959332368875,-23.58346838690885,0.8973216492635501,-0.4413772284145867,0.038247020689860606,16.015322862927075,Braking
45,23.479757659048186,-25.713541199074598,0.8502683881663666,-0.5263493783457607,0.042483542049814346,15.195820132577573,Braking
46,22.122714117400047,-27.674074638103413,0.7910137091003202,-0.611798424332193,0.04521362701388189,14.72990107071276,Braking
47,20.584958576716275,-29.456319323609687,0.7209946797850303,-0.6929405975418684,0.04574597977659934,14.643943239369666,Constant
48,18.868589727570203,-31.059944048481356,0.6427845714102602,-0.7660469925252158,0.04482181506306626,14.794142037532284,Power_Limited
49,16.975727210125292,-32.48479963843618,0.5591457531474606,-0.8290693738989271,0.04261244002190206,15.172819878848815,Power_Limited
50,14.908490664544983,-33.730736919192,0.47311630395869636,-0.8809999789605347,0.03943591572092635,15.772064294123066,Power_Limited
51,12.668999730992724,-34.797606716466575,0.3875516915958723,-0.9218479735515928,0.03568210753030156,16.580944088964365,Power_Limited
52,10.259374049631974,-35.685259855977705,0.30477835615173476,-0.9524233058999797,0.031718634049757825,17.586412902588275,Power_Limited
53,7.6817332606261886,-36.39354716344321,0.22643996406711966,-0.9740251242515676,0.027832077321810016,18.774210915076647,Power_Limited
54,4.938197004138806,-36.92231946458083,0.15351229108949918,-0.988146738336191,0.024210141324516463,20.129632277367794,Power_Limited
55,2.03088492033329,-37.2714275851084,0.08641888489074906,-0.9962588902159114,0.020952259050224013,21.63809764076678,Power_Limited
56,-1.0380833506269154,-37.4407223507437,0.025181005228265843,-0.9996829082142467,0.018092422465861093,23.28553087345019,Power_Limited
57,-4.266588168578354,-37.43005458720451,-0.030447071846860952,-0.9995363804364262,0.015632944078165543,25.05036836389487,Power_Limited
58,-7.651473155487021,-37.23927059923071,-0.08151098600024223,-0.9966724432637175,0.014184547369414265,26.29824473793223,Braking
59,-11.139129586158992,-36.867996680355894,-0.13170739483472446,-0.9912886371515867,0.014839871602911718,25.711027448651638,Braking
60,-14.603846529243674,-36.31554470279862,-0.1865904090110628,-0.9824377940944069,0.017742963314860923,23.51372455053782,Braking
61,-17.914372550957964,-35.581202377906976,-0.252210180027217,-0.9676724782128708,0.024050970455264296,20.196132034388512,Braking
62,-20.939456217518806,-34.66425741702904,-0.33711441042442325,-0.9414636871829916,0.03704034484649402,16.27410047733129,Braking
63,-23.547846095143136,-33.563997531512896,-0.4548469431865891,-0.8905696257305298,0.06516245463833092,12.269752032868809,Braking
64,-25.608290750047892,-32.279710432706665,-0.6246894551908917,-0.7808732833010147,0.1283497193440539,8.74252820326015,Braking
65,-26.98953874845002,-30.810683831958414,-0.8480157174797813,-0.529971077425223,0.24134458566664946,6.375521630690571,Braking
66,-27.560338656566444,-29.156205440616223,-0.9983112195931231,-0.05809224418535709,0.2820548196961374,5.897497168695813,Constant
67,-27.192898225913133,-27.315965202837287,-0.9210176247567687,0.3895209043009114,0.1534613830608034,7.995303419053606,Power_Limited
68,-25.933646766428136,-25.3099114822594,-0.7986074484564533,0.6018522603346054,0.05570405578798176,13.270616384077247,Power_Limited
69,-24.081459391931052,-23.187346948827084,-0.7347900087775394,0.6782946579479331,0.017628086287197066,23.5902161308971,Power_Limited
70,-21.954992953197465,-20.999874485667032,-0.7217294440798298,0.6921752737191786,0.004477389909918288,41.666666666666664,Braking
71,-19.872904301003018,-18.799096975906004,-0.7540057265161734,0.6568678439235837,0.031146051520352186,17.747329185292056,Braking
72,-18.15385028612332,-16.636617302670736,-0.8381153503860224,0.5454930425287886,0.0895673794526638,10.465490064821557,Braking
73,-17.116487759333957,-14.564038349087914,-0.9657682683148955,0.2594063451730662,0.23004543594406968,6.530218200286679,Braking
74,-17.07842513998345,-12.632815929204446,-0.9610365061573523,-0.2764214786026395,0.2779282041192248,5.94111820343067,Constant
75,-18.17916469205728,-10.869421954728308,-0.7372805597364923,-0.6755866903918729,0.12874730321594066,8.729018887935876,Power_Limited
76,-20.180595581930742,-9.247358529932368,-0.561856815876319,-0.827234500279893,0.05175214801398798,13.767982762063065,Power_Limited
77,-22.79644271815673,-7.73337150122066,-0.46909195141369814,-0.8831493311546403,0.021355323010834492,21.432924362000804,Power_Limited
78,-25.740431009288155,-6.294206714997205,-0.4315483242534336,-0.9020898202696079,0.005127995578537266,41.666666666666664,Braking
79,-28.726285363877935,-4.89661001766604,-0.4375451354126786,-0.8991964493238953,0.010173837565966787,31.05218064244993,Braking
80,-31.467730690478955,-3.5073272556311883,-0.4926474563935099,-0.8702289834917042,0.03812331527949745,16.041285682560133,Braking
81,-33.678491897644136,-2.0931042752966853,-0.6250897372287662,-0.7805528940509233,0.12020777495778162,9.033753260331027,Braking
82,-35.0722938939264,-0.620686923066557,-0.8741886613368592,-0.48558643349054753,0.3601339615587297,5.219182275619072,Constant
83,-35.36499403167349,0.9430617730234773,-0.9840989659898906,0.17762101547291118,0.35264619793214724,5.274300875834935,Power_Limited
84,-34.4874760188554,2.6194626989670153,-0.8000728404630396,0.599902867098836,0.11434408391222023,9.262487907123134,Power_Limited
85,-32.766902241288676,4.408060512851829,-0.6856105958713631,0.7279684820298985,0.03155767652139295,17.631204941200544,Power_Limited
86,-30.573122323709633,6.306054132014717,-0.6559334104931537,0.7548187603649105,0.0013972402934168647,41.666666666666664,Braking
87,-28.275985890854674,8.310642473792425,-0.6888885096441888,0.7248673128788526,0.029612197069557946,18.201165062767377,Braking
88,-26.245342567460167,10.419024455521718,-0.7834520644103116,0.6214522208273303,0.0779530906545957,11.218061959856811,Braking
89,-24.851041978262504,12.628398994539353,-0.9265918871251074,0.37606844418793267,0.1599672195897505,7.831032124168225,Braking
90,-24.41329166202296,14.932999323697576,-0.9999295781037165,-0.011867553805371129,0.1619660953193413,7.782559461312541,Constant
91,-24.906562363009424,17.306403898213578,-0.939373110597489,-0.3428967178122267,0.10122540955807204,9.844410895042138,Power_Limited
92,-26.158270003264892,19.713405921917957,-0.8415707032769236,-0.5401469720233413,0.05705474297361314,13.112594378385253,Power_Limited
93,-27.995290363670446,22.118766329887258,-0.759699424656916,-0.6502743914502176,0.03286634033824135,17.27662193275229,Power_Limited
94,-30.24449922510718,24.487246057198014,-0.7016227373683201,-0.7125486189782316,0.019466289977787207,22.44878855952228,Power_Limited
95,-32.73277236845618,26.783606038926777,-0.6646246258421601,-0.7471774265354707,0.010926733409927907,29.96327843763477,Power_Limited
96,-35.28698557459854,28.972607210150077,-0.6462608846829304,-0.763116550029441,0.0037862239300488426,41.666666666666664,Power_Limited
97,-37.734014624415316,31.019010505944443,-0.6470036716802466,-0.7624868843673835,0.005302119033597219,41.666666666666664,Braking
98,-39.90073529878767,32.887576861386464,-0.672335957823951,-0.7402461481270609,0.023756163416490967,20.321059695842973,Braking
99,-41.61402337859663,34.54306721155264,-0.7380446633869358,-0.6747518616840301,0.08152383663288686,10.969635541392652,Braking
100,-42.70075464472331,35.950242491519525,-0.8788649950912545,-0.47707056124146796,0.351371590133682,5.28385853444653,Braking
